# Copyright (C) 1991-2009 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II Version 9.0 Build 132 02/25/2009 SJ Full Version
# File: D:\ADC\asvm12120_fft_fast\Quartus\fast_fft\DSP.csv
# Generated on: Thu Feb 04 15:06:52 2010

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Group,Current Strength,Slew Rate,Differential Pair,PCB layer
adc_data[0],Unknown,PIN_39,2,B2_N0,3.3-V LVCMOS,,adc_in,,,,
adc_data[1],Unknown,PIN_38,2,B2_N0,3.3-V LVCMOS,,adc_in,,,,
adc_data[2],Unknown,PIN_37,2,B2_N0,3.3-V LVCMOS,,adc_in,,,,
adc_data[3],Unknown,PIN_22,1,B1_N0,3.3-V LVCMOS,,adc_in,,,,
adc_data[4],Unknown,PIN_21,1,B1_N0,3.3-V LVCMOS,,adc_in,,,,
adc_data[5],Unknown,PIN_18,1,B1_N0,3.3-V LVCMOS,,adc_in,,,,
adc_data[6],Unknown,PIN_14,1,B1_N0,3.3-V LVCMOS,,adc_in,,,,
adc_data[7],Unknown,PIN_13,1,B1_N0,3.3-V LVCMOS,,adc_in,,,,
adc_data[8],Unknown,PIN_12,1,B1_N0,3.3-V LVCMOS,,adc_in,,,,
adc_data[9],Unknown,PIN_9,1,B1_N0,3.3-V LVCMOS,,adc_in,,,,
adc_data[10],Unknown,PIN_6,1,B1_N0,3.3-V LVCMOS,,adc_in,,,,
adc_data[11],Unknown,PIN_5,1,B1_N0,3.3-V LVCMOS,,adc_in,,,,
rama0[0],Unknown,PIN_240,8,B8_N0,3.3-V LVCMOS,,adr0,,,,
rama0[1],Unknown,PIN_238,8,B8_N0,3.3-V LVCMOS,,adr0,,,,
rama0[2],Unknown,PIN_236,8,B8_N0,3.3-V LVCMOS,,adr0,,,,
rama0[3],Unknown,PIN_234,8,B8_N0,3.3-V LVCMOS,,adr0,,,,
rama0[4],Unknown,PIN_232,8,B8_N0,3.3-V LVCMOS,,adr0,,,,
rama0[5],Unknown,PIN_207,7,B7_N0,3.3-V LVCMOS,,adr0,,,,
rama0[6],Unknown,PIN_202,7,B7_N0,3.3-V LVCMOS,,adr0,,,,
rama0[7],Unknown,PIN_200,7,B7_N0,3.3-V LVCMOS,,adr0,,,,
rama0[8],Unknown,PIN_196,7,B7_N0,3.3-V LVCMOS,,adr0,,,,
rama0[9],Unknown,PIN_194,7,B7_N0,3.3-V LVCMOS,,adr0,,,,
rama0[10],Unknown,PIN_195,7,B7_N0,3.3-V LVCMOS,,adr0,,,,
rama0[11],Unknown,PIN_197,7,B7_N0,3.3-V LVCMOS,,adr0,,,,
rama0[12],Unknown,PIN_201,7,B7_N0,3.3-V LVCMOS,,adr0,,,,
rama0[13],Unknown,PIN_203,7,B7_N0,3.3-V LVCMOS,,adr0,,,,
rama0[14],Unknown,PIN_216,8,B8_N0,3.3-V LVCMOS,,adr0,,,,
rama0[15],Unknown,PIN_233,8,B8_N0,3.3-V LVCMOS,,adr0,,,,
rama0[16],Unknown,PIN_235,8,B8_N0,3.3-V LVCMOS,,adr0,,,,
rama0[17],Unknown,PIN_237,8,B8_N0,3.3-V LVCMOS,,adr0,,,,
rama0[18],Unknown,PIN_239,8,B8_N0,3.3-V LVCMOS,,adr0,,,,
